"treat","female","age_cat","pubhse12","h_ins12a","narry1","pe_prb12","health30","hhsize","hhsizemis","edu12","eduhigh","edumis","welf1","welf2","welf3","welf4","welfmis","afdc","afdcmis","publicass","publicassmis","fdstamp","fdstampmis","onprob","onprobmis","rwhite","work2year2q","age2","numkidhhf1zero","health0mis","health012","pe_prb0","pe_prb0mis","health123","pe_prb12mis","eversmoke","everalc","everilldrugs","h_ins12amis","illdrugs12","alc12","persinc1","hhinc12","hhinc8","vocq4","vocq4mis","pemplq4","pemplq4mis","emplq4","emplq4full","numkidhhf1onetwo","health1212","wemplq4full","schobef","chibef","jobyrbef","multjobyrbef","jobeverbef","trainyrbef","everarr","exhealth30"
1,0,20,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,400,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
0,0,24,0,2,0,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
1,1,18,0,2,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,324,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,84.61538696289062,0,1,0,0,1,0,1,0,1,1,0,0,0,1
0,1,18,0,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,324,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
1,1,17,0,3,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,289,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,100,0,1,1,0,0,1,1,0,1,1,0,0,0,0
1,0,21,0,1,0,0,2,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,441,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,7.692307472229004,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,17,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,289,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,21,0,2,0,0,3,4,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,441,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,1,0,1,0,0,0,0,0,1,0,0,0
0,1,21,0,2,0,0,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,441,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.692307472229004,0,1,0,0,1,0,0,0,0,0,1,0,0,1
0,0,17,0,0,3,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,69.29241180419922,0,1,0,0,1,0,1,0,1,1,0,0,1,0
1,0,18,0,0,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,324,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
1,1,20,0,1,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1,1,18,0,2,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,324,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0
0,0,18,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,324,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,1,1,1,1,1,0,0,1,1,0,0,0,1
1,1,19,0,2,0,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,361,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
0,1,22,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,484,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.46154022216797,0,1,0,1,1,0,0,0,1,1,0,0,0,1
1,1,18,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,324,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
1,0,17,0,1,2,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,289,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,53.846153259277344,0,1,0,0,1,0,1,0,1,1,0,0,0,0
0,0,17,0,1,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,289,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1,1,18,0,1,0,0,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,324,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,7.692307472229004,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,20,0,0,0,0,1,6,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,400,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
1,0,21,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,441,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,100,0,1,1,0,1,0,0,0,1,1,0,0,0,1
0,0,20,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,400,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,30.769229888916016,0,1,0,0,1,0,0,0,1,0,0,0,1,1
